Gene.symbol,Gene.ID,adj.P.Val,logFC
ECE1,1889,2.42387067020355e-06,-2.28106991356236
CXCL8,3576,1,2.27787587822562
BTLA,151888,1,-2.27614920149093
MCM6,4175,0.00108504175171984,2.26970566370295
CALCRL,10203,0.00125298850989606,2.26861982802948
KIF4A,24137,2.37654181745471e-11,2.26831879373243
RNASE3,6037,0.0537360309186661,2.26664119169955
PTX3,5806,0.0281825956441265,2.26328650600681
IL18RAP,8807,1,-2.26241897040476
HIST1H3H///HIST1H2AI,8357///8329,1.55262883681387e-07,2.26119410765534
SNORD116-20,100033431,1,-2.26087109509751
TNFRSF21,27242,9.48611130508874e-13,2.26066604138889
MS4A3,932,0.155541556425985,2.2604789353424
,,0.99578051282746,2.2574749967347
C3AR1,719,1,2.25679331468481
SPTA1,6708,8.16462920689156e-06,2.25458899526531
,,1,2.2543758917279
SLC37A3,84255,3.54307699226149e-07,-2.25432798813038
GPR65,8477,0.259915775913503,-2.2536755990136
MYCN,4613,9.61437696635428e-05,2.25336346476758
CMBL,134147,1.01232219649727e-06,2.25167983868028
BUB1,699,1.82785276072001e-07,2.24992873509978
SPINK2,6691,0.0379707671018683,2.24637303118934
ZBP1,81030,8.15524660279675e-10,-2.24400833257823
TFRC,7037,1.12263632744794e-09,2.24290492955896
ADGRA3,166647,1.40159788910202e-06,2.24245628728571
CENPI,2491,1.10030395015413e-13,2.24023758153969
CBX7,23492,8.60110225481855e-15,-2.24007964966894
ABCD2,225,1,-2.23823928245918
GIMAP7,168537,1,-2.23789907102835
YES1,7525,0.00101774847290332,2.23523775182086
TTK,7272,1.42145521327828e-12,2.23504714605669
MCM4,4173,9.63929270368374e-13,2.23452321069841
RAD51AP1,10635,2.13193476036555e-08,2.23439844010431
BRIP1,83990,2.48424537739513e-08,2.23355514603628
COL24A1,255631,1.26976779939014e-10,2.23241663100454
PITPNC1,26207,4.04270035732959e-05,-2.23193438609183
XRCC2,7516,5.74430139857126e-09,2.23132431801814
CDK1,983,2.78863012395648e-11,2.22380094475624
MCTP1,79772,1,2.22342390415533
RHAG,6005,0.000352372664761832,2.2224657975
WDHD1,11169,2.16317640004754e-07,2.22210068474604
FAM134B,54463,2.55839019301784e-05,-2.2197034029297
GOLGA8R///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP,101059918///728047///653720///653125///653075///653073///653061///643699///390535,2.89273067221806e-12,2.21741409829025
MEST,4232,0.00199568909917422,2.21666858571996
ALAS2,212,0.000181278576292388,2.21501216222789
SLAMF6,114836,1,-2.21446635213492
TOM1L1,10040,4.74339984892494e-06,2.2119411952551
MYOF,26509,0.361911249266685,2.2092234254932
NET1,10276,8.41773738012943e-06,2.20809744878912
GDPD3,79153,4.41521965113014e-05,-2.20202784515986
RAVER2,55225,1.28515347316801e-06,2.20060073943878
SOX4,6659,3.26756658663076e-08,2.19879889168594
,,0.224358922666062,2.19867663939456
AKT3,10000,0.0159004483517944,-2.19662971990476
SPC25,57405,3.47760097089859e-13,2.19639068827098
NUSAP1,51203,4.71167913193517e-07,2.19594652683333
KIF14,9928,3.22995911125532e-14,2.19593366886508
ALDH18A1,5832,0.148570226712632,2.19186692410658
MGST2,4258,0.00214662433264591,2.19128939726304
GGH,8836,2.01708189996569e-07,2.19094786771996
GUCY1B3,2983,0.00236537331177276,2.18814666379479
FAM102A,399665,0.0505098141220743,-2.18612387670294
SPRY2,10253,4.84290797762137e-05,2.1860818186712
ESCO2,157570,1.15150132920504e-06,2.18599287817801
FABP5P3///FABP5,220832///2171,1.63344989939635e-06,2.18555297079252
CD109,135228,0.0507673147829107,2.18389125511111
DUSP6,1848,1,2.17341118503062
,,0.494591422443826,2.17323481598413
RXFP1,59350,4.1950890058242e-06,2.17158276776984
CYFIP1,23191,6.05592259410151e-05,2.16909363388436
SKAP1,8631,1,-2.1679835675
IGFBP7,3490,0.00337365952850046,2.16733447785261
ERP27,121506,0.000116292009899197,-2.16253504862698
PECR,55825,4.62600485491646e-14,-2.16251306721542
IFI44L,10964,0.00670755629216759,-2.16089466008957
CCDC169-SOHLH2///CCDC169,100526761///728591,3.59743578574151e-11,2.15551673603742
MCUB,55013,1,-2.15353784365306
NEGR1,257194,0.000751937855826372,2.15137207193311
